N Estimators,Criterion,Max Depth,Min Samples Split,Min Samples Leaf,Class Weight,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
50,gini,,2,1,,0.7868852459016393,0.75,0.9090909090909091,18,10,3,30
50,gini,,2,1,balanced,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
50,gini,,2,2,,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
50,gini,,2,2,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
50,gini,,5,1,,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
50,gini,,5,1,balanced,0.8688524590163934,0.8205128205128205,0.9696969696969697,21,7,1,32
50,gini,,5,2,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
50,gini,,5,2,balanced,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
50,gini,10,2,1,,0.7868852459016393,0.75,0.9090909090909091,18,10,3,30
50,gini,10,2,1,balanced,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
50,gini,10,2,2,,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
50,gini,10,2,2,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
50,gini,10,5,1,,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
50,gini,10,5,1,balanced,0.8688524590163934,0.8205128205128205,0.9696969696969697,21,7,1,32
50,gini,10,5,2,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
50,gini,10,5,2,balanced,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
50,gini,20,2,1,,0.7868852459016393,0.75,0.9090909090909091,18,10,3,30
50,gini,20,2,1,balanced,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
50,gini,20,2,2,,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
50,gini,20,2,2,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
50,gini,20,5,1,,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
50,gini,20,5,1,balanced,0.8688524590163934,0.8205128205128205,0.9696969696969697,21,7,1,32
50,gini,20,5,2,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
50,gini,20,5,2,balanced,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
50,entropy,,2,1,,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
50,entropy,,2,1,balanced,0.7868852459016393,0.7777777777777778,0.8484848484848485,20,8,5,28
50,entropy,,2,2,,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
50,entropy,,2,2,balanced,0.8032786885245902,0.7837837837837838,0.8787878787878788,20,8,4,29
50,entropy,,5,1,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
50,entropy,,5,1,balanced,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
50,entropy,,5,2,,0.8688524590163934,0.8205128205128205,0.9696969696969697,21,7,1,32
50,entropy,,5,2,balanced,0.8852459016393442,0.8421052631578947,0.9696969696969697,22,6,1,32
50,entropy,10,2,1,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
50,entropy,10,2,1,balanced,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
50,entropy,10,2,2,,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
50,entropy,10,2,2,balanced,0.8032786885245902,0.7837837837837838,0.8787878787878788,20,8,4,29
50,entropy,10,5,1,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
50,entropy,10,5,1,balanced,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
50,entropy,10,5,2,,0.8688524590163934,0.8205128205128205,0.9696969696969697,21,7,1,32
50,entropy,10,5,2,balanced,0.8852459016393442,0.8421052631578947,0.9696969696969697,22,6,1,32
50,entropy,20,2,1,,0.819672131147541,0.7894736842105263,0.9090909090909091,20,8,3,30
50,entropy,20,2,1,balanced,0.7868852459016393,0.7777777777777778,0.8484848484848485,20,8,5,28
50,entropy,20,2,2,,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
50,entropy,20,2,2,balanced,0.8032786885245902,0.7837837837837838,0.8787878787878788,20,8,4,29
50,entropy,20,5,1,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
50,entropy,20,5,1,balanced,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
50,entropy,20,5,2,,0.8688524590163934,0.8205128205128205,0.9696969696969697,21,7,1,32
50,entropy,20,5,2,balanced,0.8852459016393442,0.8421052631578947,0.9696969696969697,22,6,1,32
100,gini,,2,1,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
100,gini,,2,1,balanced,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
100,gini,,2,2,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,,2,2,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,,5,1,,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
100,gini,,5,1,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,,5,2,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,,5,2,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,10,2,1,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
100,gini,10,2,1,balanced,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
100,gini,10,2,2,,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
100,gini,10,2,2,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,10,5,1,,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
100,gini,10,5,1,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,10,5,2,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,10,5,2,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,20,2,1,,0.8360655737704918,0.7804878048780488,0.9696969696969697,19,9,1,32
100,gini,20,2,1,balanced,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
100,gini,20,2,2,,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,20,2,2,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
100,gini,20,5,1,,0.8360655737704918,0.7948717948717948,0.9393939393939394,20,8,2,31
