C,Kernel,Gamma,Class Weight,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
0.1,linear,scale,,0.819672131147541,0.7619047619047619,0.9696969696969697,18,10,1,32
0.1,linear,scale,balanced,0.8032786885245902,0.7560975609756098,0.9393939393939394,18,10,2,31
0.1,linear,auto,,0.819672131147541,0.7619047619047619,0.9696969696969697,18,10,1,32
0.1,linear,auto,balanced,0.8032786885245902,0.7560975609756098,0.9393939393939394,18,10,2,31
0.1,rbf,scale,,0.8032786885245902,0.7560975609756098,0.9393939393939394,18,10,2,31
0.1,rbf,scale,balanced,0.7868852459016393,0.7941176470588235,0.8181818181818182,21,7,6,27
0.1,rbf,auto,,0.8032786885245902,0.7560975609756098,0.9393939393939394,18,10,2,31
0.1,rbf,auto,balanced,0.7868852459016393,0.7941176470588235,0.8181818181818182,21,7,6,27
0.1,poly,scale,,0.7049180327868853,0.6470588235294118,1.0,10,18,0,33
0.1,poly,scale,balanced,0.7704918032786885,0.7021276595744681,1.0,14,14,0,33
0.1,poly,auto,,0.7049180327868853,0.6470588235294118,1.0,10,18,0,33
0.1,poly,auto,balanced,0.7704918032786885,0.7021276595744681,1.0,14,14,0,33
0.1,sigmoid,scale,,0.819672131147541,0.7619047619047619,0.9696969696969697,18,10,1,32
0.1,sigmoid,scale,balanced,0.8032786885245902,0.7560975609756098,0.9393939393939394,18,10,2,31
0.1,sigmoid,auto,,0.819672131147541,0.7619047619047619,0.9696969696969697,18,10,1,32
0.1,sigmoid,auto,balanced,0.8032786885245902,0.7560975609756098,0.9393939393939394,18,10,2,31
1,linear,scale,,0.7868852459016393,0.75,0.9090909090909091,18,10,3,30
1,linear,scale,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
1,linear,auto,,0.7868852459016393,0.75,0.9090909090909091,18,10,3,30
1,linear,auto,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
1,rbf,scale,,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
1,rbf,scale,balanced,0.8032786885245902,0.8,0.8484848484848485,21,7,5,28
1,rbf,auto,,0.819672131147541,0.775,0.9393939393939394,19,9,2,31
1,rbf,auto,balanced,0.8032786885245902,0.8,0.8484848484848485,21,7,5,28
1,poly,scale,,0.8032786885245902,0.7441860465116279,0.9696969696969697,17,11,1,32
1,poly,scale,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
1,poly,auto,,0.8032786885245902,0.7441860465116279,0.9696969696969697,17,11,1,32
1,poly,auto,balanced,0.8524590163934426,0.8,0.9696969696969697,20,8,1,32
1,sigmoid,scale,,0.7540983606557377,0.725,0.8787878787878788,17,11,4,29
1,sigmoid,scale,balanced,0.7868852459016393,0.7631578947368421,0.8787878787878788,19,9,4,29
1,sigmoid,auto,,0.7540983606557377,0.725,0.8787878787878788,17,11,4,29
1,sigmoid,auto,balanced,0.7868852459016393,0.7631578947368421,0.8787878787878788,19,9,4,29
10,linear,scale,,0.7868852459016393,0.75,0.9090909090909091,18,10,3,30
10,linear,scale,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
10,linear,auto,,0.7868852459016393,0.75,0.9090909090909091,18,10,3,30
10,linear,auto,balanced,0.8032786885245902,0.7692307692307693,0.9090909090909091,19,9,3,30
10,rbf,scale,,0.7540983606557377,0.75,0.8181818181818182,19,9,6,27
10,rbf,scale,balanced,0.7540983606557377,0.75,0.8181818181818182,19,9,6,27
10,rbf,auto,,0.7540983606557377,0.75,0.8181818181818182,19,9,6,27
10,rbf,auto,balanced,0.7540983606557377,0.75,0.8181818181818182,19,9,6,27
10,poly,scale,,0.8032786885245902,0.7837837837837838,0.8787878787878788,20,8,4,29
10,poly,scale,balanced,0.819672131147541,0.8055555555555556,0.8787878787878788,21,7,4,29
10,poly,auto,,0.8032786885245902,0.7837837837837838,0.8787878787878788,20,8,4,29
10,poly,auto,balanced,0.819672131147541,0.8055555555555556,0.8787878787878788,21,7,4,29
10,sigmoid,scale,,0.7377049180327869,0.7428571428571429,0.7878787878787878,19,9,7,26
10,sigmoid,scale,balanced,0.7213114754098361,0.7352941176470589,0.7575757575757576,19,9,8,25
10,sigmoid,auto,,0.7377049180327869,0.7428571428571429,0.7878787878787878,19,9,7,26
10,sigmoid,auto,balanced,0.7213114754098361,0.7352941176470589,0.7575757575757576,19,9,8,25
