Criterion,Max Depth,Min Samples Split,Min Samples Leaf,Class Weight,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
gini,,2,1,,0.551625784369652,0.382089552238806,0.40764331210191085,711,414,372,256
gini,,2,1,balanced,0.5242441528807759,0.34006211180124224,0.3487261146496815,700,425,409,219
gini,,2,2,,0.5573302909298345,0.36879432624113473,0.33121019108280253,769,356,420,208
gini,,2,2,balanced,0.5185396463205932,0.3528610354223433,0.4124203821656051,650,475,369,259
gini,,2,4,,0.5533371363377068,0.376,0.37420382165605093,735,390,393,235
gini,,2,4,balanced,0.5299486594409584,0.36575342465753424,0.4251592356687898,662,463,361,267
gini,,5,1,,0.5527666856816885,0.378125,0.3853503184713376,727,398,386,242
gini,,5,1,balanced,0.5345122646891044,0.3580060422960725,0.37738853503184716,700,425,391,237
gini,,5,2,,0.5442099258414147,0.3582089552238806,0.34394904458598724,738,387,412,216
gini,,5,2,balanced,0.5265259555048488,0.3597222222222222,0.4124203821656051,664,461,369,259
gini,,5,4,,0.5533371363377068,0.376,0.37420382165605093,735,390,393,235
gini,,5,4,balanced,0.5299486594409584,0.36575342465753424,0.4251592356687898,662,463,361,267
gini,,10,1,,0.537934968625214,0.35691823899371067,0.3614649681528662,716,409,401,227
gini,,10,1,balanced,0.5288077581289219,0.364010989010989,0.42197452229299365,662,463,363,265
gini,,10,2,,0.547062179121506,0.3602693602693603,0.34076433121019106,745,380,414,214
gini,,10,2,balanced,0.5231032515687393,0.3627968337730871,0.43789808917197454,642,483,353,275
gini,,10,4,,0.5533371363377068,0.3714759535655058,0.35668789808917195,746,379,404,224
gini,,10,4,balanced,0.5270964061608671,0.3665338645418327,0.4394904458598726,648,477,352,276
gini,5,2,1,,0.6400456360524814,0.4,0.009554140127388535,1116,9,622,6
gini,5,2,1,balanced,0.5322304620650313,0.3389261744966443,0.321656050955414,731,394,426,202
gini,5,2,2,,0.6400456360524814,0.4,0.009554140127388535,1116,9,622,6
