C,Penalty,Solver,Max iterations,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
0.01,l1,liblinear,100,0.6417569880205363,0.0,0.0,1125,0,628,0
0.01,l1,liblinear,100,0.6417569880205363,0.0,0.0,1125,0,628,0
0.01,l1,liblinear,200,0.6417569880205363,0.0,0.0,1125,0,628,0
0.01,l1,liblinear,200,0.6417569880205363,0.0,0.0,1125,0,628,0
0.01,l1,liblinear,500,0.6417569880205363,0.0,0.0,1125,0,628,0
0.01,l1,liblinear,500,0.6417569880205363,0.0,0.0,1125,0,628,0
0.01,l1,saga,100,0.6417569880205363,0.0,0.0,1125,0,628,0
0.01,l1,saga,100,0.6417569880205363,0.0,0.0,1125,0,628,0
0.01,l1,saga,200,0.6417569880205363,0.0,0.0,1125,0,628,0
0.01,l1,saga,200,0.6417569880205363,0.0,0.0,1125,0,628,0
0.01,l1,saga,500,0.6417569880205363,0.0,0.0,1125,0,628,0
0.01,l1,saga,500,0.6417569880205363,0.0,0.0,1125,0,628,0
0.01,l2,liblinear,100,0.4877353108956075,0.3462414578587699,0.4840764331210191,551,574,324,304
0.01,l2,liblinear,100,0.4877353108956075,0.3462414578587699,0.4840764331210191,551,574,324,304
0.01,l2,liblinear,200,0.4877353108956075,0.3462414578587699,0.4840764331210191,551,574,324,304
0.01,l2,liblinear,200,0.4877353108956075,0.3462414578587699,0.4840764331210191,551,574,324,304
0.01,l2,liblinear,500,0.4877353108956075,0.3462414578587699,0.4840764331210191,551,574,324,304
0.01,l2,liblinear,500,0.4877353108956075,0.3462414578587699,0.4840764331210191,551,574,324,304
0.01,l2,lbfgs,100,0.4877353108956075,0.3458904109589041,0.482484076433121,552,573,325,303
0.01,l2,lbfgs,100,0.4877353108956075,0.3458904109589041,0.482484076433121,552,573,325,303
0.01,l2,lbfgs,200,0.4877353108956075,0.3458904109589041,0.482484076433121,552,573,325,303
0.01,l2,lbfgs,200,0.4877353108956075,0.3458904109589041,0.482484076433121,552,573,325,303
0.01,l2,lbfgs,500,0.4877353108956075,0.3458904109589041,0.482484076433121,552,573,325,303
0.01,l2,lbfgs,500,0.4877353108956075,0.3458904109589041,0.482484076433121,552,573,325,303
0.1,l1,liblinear,100,0.4917284654877353,0.35372636262513907,0.5063694267515924,544,581,310,318
0.1,l1,liblinear,100,0.4917284654877353,0.35372636262513907,0.5063694267515924,544,581,310,318
0.1,l1,liblinear,200,0.4917284654877353,0.35372636262513907,0.5063694267515924,544,581,310,318
0.1,l1,liblinear,200,0.4917284654877353,0.35372636262513907,0.5063694267515924,544,581,310,318
0.1,l1,liblinear,500,0.4917284654877353,0.35372636262513907,0.5063694267515924,544,581,310,318
0.1,l1,liblinear,500,0.4917284654877353,0.35372636262513907,0.5063694267515924,544,581,310,318
0.1,l1,saga,100,0.4968625213918996,0.3563348416289593,0.5015923566878981,556,569,313,315
0.1,l1,saga,100,0.4968625213918996,0.3563348416289593,0.5015923566878981,556,569,313,315
0.1,l1,saga,200,0.4968625213918996,0.3563348416289593,0.5015923566878981,556,569,313,315
0.1,l1,saga,200,0.4968625213918996,0.3563348416289593,0.5015923566878981,556,569,313,315
0.1,l1,saga,500,0.4968625213918996,0.3563348416289593,0.5015923566878981,556,569,313,315
0.1,l1,saga,500,0.4968625213918996,0.3563348416289593,0.5015923566878981,556,569,313,315
0.1,l2,liblinear,100,0.48488305761551626,0.34321550741163054,0.47929936305732485,549,576,327,301
0.1,l2,liblinear,100,0.48488305761551626,0.34321550741163054,0.47929936305732485,549,576,327,301
0.1,l2,liblinear,200,0.48488305761551626,0.34321550741163054,0.47929936305732485,549,576,327,301
0.1,l2,liblinear,200,0.48488305761551626,0.34321550741163054,0.47929936305732485,549,576,327,301
0.1,l2,liblinear,500,0.48488305761551626,0.34321550741163054,0.47929936305732485,549,576,327,301
0.1,l2,liblinear,500,0.48488305761551626,0.34321550741163054,0.47929936305732485,549,576,327,301
0.1,l2,lbfgs,100,0.48488305761551626,0.34321550741163054,0.47929936305732485,549,576,327,301
0.1,l2,lbfgs,100,0.48488305761551626,0.34321550741163054,0.47929936305732485,549,576,327,301
0.1,l2,lbfgs,200,0.48488305761551626,0.34321550741163054,0.47929936305732485,549,576,327,301
0.1,l2,lbfgs,200,0.48488305761551626,0.34321550741163054,0.47929936305732485,549,576,327,301
0.1,l2,lbfgs,500,0.48488305761551626,0.34321550741163054,0.47929936305732485,549,576,327,301
