N Estimators,Criterion,Max Depth,Min Samples Split,Min Samples Leaf,Class Weight,Accuracy,Precision,Recall,CM TrueNeg,CM FalsePos,CM FalseNeg,CM TruePos
50,gini,,2,1,,0.6349115801483172,0.4166666666666667,0.04777070063694268,1083,42,598,30
50,gini,,2,1,balanced,0.6360524814603536,0.4,0.03184713375796178,1095,30,608,20
50,gini,,2,2,,0.6332002281802624,0.3770491803278688,0.03662420382165605,1087,38,605,23
50,gini,,2,2,balanced,0.6240730176839704,0.36752136752136755,0.06847133757961783,1051,74,585,43
50,gini,,5,1,,0.6320593268682259,0.3950617283950617,0.050955414012738856,1076,49,596,32
50,gini,,5,1,balanced,0.6274957216200798,0.3493975903614458,0.04617834394904458,1071,54,599,29
50,gini,,5,2,,0.6349115801483172,0.4090909090909091,0.042993630573248405,1086,39,601,27
50,gini,,5,2,balanced,0.618938961779806,0.3412698412698413,0.06847133757961783,1042,83,585,43
50,gini,10,2,1,,0.6400456360524814,0.0,0.0,1122,3,628,0
50,gini,10,2,1,balanced,0.583000570450656,0.3832199546485261,0.26910828025477707,853,272,459,169
50,gini,10,2,2,,0.6423274386765545,0.6666666666666666,0.0031847133757961785,1124,1,626,2
50,gini,10,2,2,balanced,0.5704506560182544,0.3626373626373626,0.2627388535031847,835,290,463,165
50,gini,10,5,1,,0.6423274386765545,0.5714285714285714,0.006369426751592357,1122,3,624,4
50,gini,10,5,1,balanced,0.5510553337136338,0.3304904051172708,0.24681528662420382,811,314,473,155
50,gini,10,5,2,,0.6417569880205363,0.5,0.0031847133757961785,1123,2,626,2
50,gini,10,5,2,balanced,0.5864232743867656,0.38850574712643676,0.26910828025477707,859,266,459,169
50,gini,20,2,1,,0.6314888762122076,0.3783783783783784,0.044585987261146494,1079,46,600,28
50,gini,20,2,1,balanced,0.6223616657159156,0.2976190476190476,0.03980891719745223,1066,59,603,25
50,gini,20,2,2,,0.6292070735881347,0.30357142857142855,0.027070063694267517,1086,39,611,17
50,gini,20,2,2,balanced,0.6217912150598973,0.35772357723577236,0.07006369426751592,1046,79,584,44
50,gini,20,5,1,,0.6252139189960069,0.32941176470588235,0.044585987261146494,1068,57,600,28
50,gini,20,5,1,balanced,0.6263548203080433,0.36082474226804123,0.05573248407643312,1063,62,593,35
50,gini,20,5,2,,0.6337706788362807,0.375,0.03343949044585987,1090,35,607,21
50,gini,20,5,2,balanced,0.6132344552196235,0.3310810810810811,0.07802547770700637,1026,99,579,49
50,entropy,,2,1,,0.6320593268682259,0.36065573770491804,0.03503184713375796,1086,39,606,22
50,entropy,,2,1,balanced,0.6383342840844267,0.44642857142857145,0.03980891719745223,1094,31,603,25
50,entropy,,2,2,,0.6343411294922989,0.39344262295081966,0.03821656050955414,1088,37,604,24
50,entropy,,2,2,balanced,0.6263548203080433,0.36363636363636365,0.05732484076433121,1062,63,592,36
50,entropy,,5,1,,0.6206503137478608,0.2465753424657534,0.028662420382165606,1070,55,610,18
50,entropy,,5,1,balanced,0.6303479749001711,0.38095238095238093,0.050955414012738856,1073,52,596,32
50,entropy,,5,2,,0.6360524814603536,0.42857142857142855,0.04777070063694268,1085,40,598,30
50,entropy,,5,2,balanced,0.6206503137478608,0.3391304347826087,0.06210191082802548,1049,76,589,39
50,entropy,10,2,1,,0.6411865373645179,0.0,0.0,1124,1,628,0
50,entropy,10,2,1,balanced,0.5579007415858528,0.352112676056338,0.2786624203821656,803,322,453,175
50,entropy,10,2,2,,0.6423274386765545,0.6666666666666666,0.0031847133757961785,1124,1,626,2
50,entropy,10,2,2,balanced,0.5647461494580719,0.3679060665362035,0.29936305732484075,802,323,440,188
50,entropy,10,5,1,,0.6400456360524814,0.0,0.0,1122,3,628,0
50,entropy,10,5,1,balanced,0.573873359954364,0.37367303609341823,0.2802547770700637,830,295,452,176
50,entropy,10,5,2,,0.6423274386765545,0.6666666666666666,0.0031847133757961785,1124,1,626,2
50,entropy,10,5,2,balanced,0.5778665145464917,0.3923076923076923,0.3248407643312102,809,316,424,204
50,entropy,20,2,1,,0.6337706788362807,0.375,0.03343949044585987,1090,35,607,21
50,entropy,20,2,1,balanced,0.6314888762122076,0.41818181818181815,0.0732484076433121,1061,64,582,46
50,entropy,20,2,2,,0.6349115801483172,0.38,0.030254777070063694,1094,31,609,19
50,entropy,20,2,2,balanced,0.6360524814603536,0.4652777777777778,0.10668789808917198,1048,77,561,67
50,entropy,20,5,1,,0.6280661722760981,0.3064516129032258,0.030254777070063694,1082,43,609,19
50,entropy,20,5,1,balanced,0.6314888762122076,0.4296875,0.0875796178343949,1052,73,573,55
50,entropy,20,5,2,,0.6377638334284085,0.4146341463414634,0.027070063694267517,1101,24,611,17
